,Document,Category
3988,"Mark Wahlberg: 'I was a little rough around the edges' The actor Mark Wahlberg is sitting beside me on a sofa in a Beverly Hills hotel, muscles bulging out of his T-shirt, immaculate white trainers resting …",Film
3989,"The Brighton jihadists: bullied brothers who went into battle Much has been written about Britons who fought in Syria, but little truly explains who these characters were, what made them tick. Or what actually ha …",Books
3990,"No 10 denies claim Dominic Cummings argued to 'let old people die' Downing Street has rejected as “a highly defamatory fabrication” a claim that Boris Johnson’s chief adviser, Dominic Cummings, initially argued agains …",Politics
3991,"Låpsley: Through Water review – bedroom auteur’s potent follow-up Following the release of her precocious debut album, 2016’s Long Way Home, bedroom auteur Holly Låpsley Fletcher took time away from music to take sto …",Music
3992,"Dominicana by Angie Cruz review – disenfranchised in the USA From birth, Ana Canción has been told that her green eyes are “a winning lottery ticket”. She is a country girl with modest horizons but her mother – …",Books
3993,"Rishi Sunak faces legal action from gig economy workers Pressure is mounting on Rishi Sunak to extend his coronavirus bailout to the UK’s five million self-employed people, with gig workers threatening lega …",Politics
3994,"Pensions regulator investigates former Norton Motorcycles boss Stuart Garner, the former boss of the embattled Norton Motorcycles, is being investigated by The Pensions Regulator regarding his conduct as a trustee …",Business
3995,"In brief: Dead Famous; The Voice in My Ear; Appeasing Hitler – review Dead Famous Greg Jenner Weidenfeld, £18.99, pp389 In this engaging and well-researched book, historian Greg Jenner looks at everyone from Lord Byron t …",Books
3996,"J Balvin: Colores review – a riot of hooks and ideas Since Colombian reggaeton sensation J Balvin’s global breakthrough with 2017 banger Mi Gente, his stock has risen thanks in part to a slew of well-cho …",Music
3997,"Keep it coronavirus-free: how to clean your mobile phone Ordinarily it’s a good idea to clean your phone every now and then. However, because coronavirus is so contagious and we know it can survive on surfac …",Life-and-Style
3998,"Coronavirus leaves Super League facing 13-team season next year Super League may have to consider the possibility of running a 13-team league in 2021, with one of the competition’s leading chief executives suggesti …",Sport
3999,"Mali music star Rokia Traoré on hunger strike after  'kidnapping' arrest There are growing concerns for the health of Rokia Traoré, the internationally celebrated Malian singer, who has been on hunger strike at the Fleury-M …",Music
4000,"'It's just like a Bluey episode': how to get through quarantine with a toddler On ordinary days, when people aren’t talking about pandemics, I work from home while caring for my three-year-old daughter. I’ve had many years to ref …",Life-and-Style
4001,"AFL goes into damage control in face of serious threat In the end the AFL came to its senses. In arriving at a decision many hoped might have been made last week, league bosses suspended the men’s competit …",Sport
4002,"EU states 'dragging their feet' over financial transparency, report finds Most EU member states have failed to meet a legal deadline to introduce public registers of the real owners of companies, a transparency measure seen …",Business
4003,"Waterstones closes stores in U-turn over staff's Covid-19 fears Waterstones has said it will close its 280 UK branches from Monday, hours after its chief executive said the bookstore chain was “no different to a su …",Books
4004,"It's Mother's Day, Actually – but not like any other It was a Mother’s Day unlike any other as Britons were advised not to visit their loved ones on Sunday. But some people came up with innovative ways a …",UK-News
4005,Scotland's schools told to stop pupils attending to finish coursework Nicola Sturgeon has ordered schools in Scotland to cancel plans to allow 15 to 18-year-olds into classes to complete coursework. Numerous secondary sc …,UK-News
4006,Olympics postponement to 2021 on cards as IOC gives itself four-week deadline The International Olympic Committee has paved the way for the Tokyo Games to be postponed after giving itself a four-week deadline to consider its opt …,Sport
4007,Talking Horses: Racing mulls 'localised' idea for eventual return British racing is considering the feasibility of a limited return to action at a small number of all-weather tracks with horses to be stabled and trai …,Sport
4008,'Existential crisis': airline workers fear layoffs amid coronavirus pandemic A decade of bumper profits hasn’t cushioned the US airline industry from the coronavirus pandemic. Analysts are predicting many face bankruptcy in the …,Business
4009,Energy storage boom stalls in Europe Europe’s energy storage boom stalled last year due to a slowdown in large-scale schemes designed to store clean electricity from major renewable energ …,Business
4010,"Let's move to Mars: the best books about our future in space It’s no longer a question of whether we’re going to Mars, but when. By the time we reach a second planet – probably in the 2030s – we’ll probably have …",Books
4011,I turned off phone notifications and instantly felt calmer and happier ‘It always happens when you least expect it.” Or so the adage goes; the romantic notion that the job of your dreams or the love of your life will appe …,Life-and-Style
4012,"Liberation Through Hearing: Rap, Rave and the Rise of XL – review The music business is full of kneejerk hyperbole, but XL Recordings, the independent London label run by Richard Russell, remains the most extraordina …",Books
4013,"Virgin Australia asks competition watchdog to investigate Qantas 'campaign' against it Virgin Australia has written to the competition watchdog complaining about allegedly anti-competitive attacks on the airline by the Qantas boss, Alan …",Business
4014,"Heaven can wait: what will happen to the films delayed by coronavirus? We are entering new territory for the movies: thanks to Covid-19, major titles have been pulled from release, in anticipation of plummeting audiences …",Film
4015,"A Thousand Moons by Sebastian Barry review – a compelling tale of identity and revenge At a time when questions of identity are fraught and thorny, there’s something daring in the set-up of Sebastian Barry’s A Thousand Moons. Continuing …",Books
4016,"Enough of this epic delusion: coronavirus makes sport in front of fans a long way off We still don’t get it. Even now, as death tolls rise exponentially across Europe and the greatest economic crisis of our age deepens, the white lies p …",Sport
4017,"Kraftwerk: where to start in their back catalogue While many of us worldwide are unable to experience live music during the coronavirus crisis, or even socialise as normal, we can still use streaming …",Music
4018,"Keeper by Jessica Moor review – atmospheric, timely The old adage about writing what you know has fallen out of fashion as advice for new writers, but it’s served Jessica Moor well in her first novel, K …",Books
4019,Japan Olympic Committee president considering postponing Games The head of the Japan Olympic Committee (JOC) said on Monday he had to consider postponing the Games among his options amid increasing calls from comm …,Sport
4020,"Tom Hanks 'feeling better' after Covid-19 diagnosis Tom Hanks says he and Rita Wilson are feeling better, two weeks after being diagnosed with coronavirus while filming in Australia. Hanks, who had been …",Film
4021,"Tips, links and suggestions: what are you reading this week? Welcome to this week’s blogpost. Here’s our roundup of your comments and photos from the last week. Charles Portis’s True Grit is “turning out to be a …",Books
4022,"My favourite game: Usain Bolt wins Olympic 200m gold at Beijing 2008 No one was ever going to beat Michael Johnson’s record. Not in my young lifetime anyway, maybe some distant day when I was old and grey, and athletics …",Sport
4023,How we met: ‘He was the most beautiful man I’d ever seen. I asked him: “Are you single?”’ Hannah was on her way home from work in London when she noticed the tube attendant on the platform. “I just thought he was the most beautiful man I ha …,Life-and-Style
4024,"As Australia closes all cinemas, China reopens 500 venues China’s cinemas are gradually opening once more for business across the country, although ticket sales remain slow. As the coronavirus outbreak begins …",Film
4025,Shell plans to slash $9bn from spending in wake of coronavirus Royal Dutch Shell plans to slash $9bn (£7.2bn) from its spending plans to weather the collapse in oil market prices in the wake of the coronavirus out …,Business
4026,Federal Reserve launches aggressive plan to buy government-backed debt The US Federal Reserve has launched an aggressive plan to buy as much government-backed debt as it needs to keep financial markets functioning as plan …,Business
4027,"BlackRock pledges $50m for vulnerable people during Covid-19 outbreak BlackRock, the world’s largest investment group, has pledged to donate $50m (£43m) to help people struggling with financial difficulties because of th …",Business
4028,"Pretty Woman at 30: conservatism, materialism and glowing star power There are a lot of fantasies at play in Pretty Woman, the hit romantic comedy that transformed Julia Roberts into one of the biggest stars in Hollywoo …",Film
4029,"Rick Astley: how we made Never Gonna Give You Up Rick Astley, singer I was the drummer in FBI, a jangly guitar band in Newton-le-Willows, Lancashire. After I started writing a few tunes, I became the …",Music
4030,"Malcolm Chase obituary The social historian Malcolm Chase, who has died aged 63 after suffering from a brain tumour, explored the world of working-class people in 19th-centu …",Books
4031,Teenagers held for allegedly coughing at and assaulting elderly couple Three teenagers have been arrested after an elderly couple were allegedly coughed at and assaulted in Hertfordshire. Police said the couple were appro …,UK-News
4032,"Lyrical lockdown: rappers respond to coronavirus As cultural institutions and the arts sector struggle to adjust to their new roles during the coronavirus outbreak, one strand is proving particularly …",Music
4033,The Jesus Rolls review – John Turturro's Big Lebowski spin-off misses the mark John Turturro’s planned return to the universe of The Big Lebowski was announced four years ago with a fanfare as a much-anticipated spin-off from one …,Film
4034,The Fed is running out of options to stave off a coronavirus depression These are troubling times for the US Federal Reserve. The US central bank is trying everything it knows to pull the financial markets out of their tai …,Business
4035,"When it comes to unemployment in Australia, definitions have been broken The coronavirus is about to destroy the scale of economic data. What we was considered a “bad case” scenario or even indicative of times requiring sti …",Business
4036,UK government considers forcing non-essential shops to close The UK government is considering forcing the closure of all non-essential shops in an escalation of measures to try to slow the spread of coronavirus. …,Business
4037,Moira Salmond: the political wife who avoids public life Moira Salmond has long been one of the most enigmatic figures in Scottish public life. Married to one of the country’s most famous political leaders f …,Politics
4038,"Close libraries now, plead library chiefs as 'terrified' London staff walk out Librarians in south London staged a walkout on Friday over fears for their health during the coronavirus pandemic as leaders of the sector called for …",Books
4039,Protests at UK cinemas' treatment of staff after coronavirus shutdown Former and current employees of the UK’s biggest cinema chains are protesting at treatment by their employers in the wake of the national cinema shutd …,Film
4040,"Rail franchising has hit the buffers. The question is, what replaces it? Rail franchising is being suspended “for a limited period, initially six months,” said the Department for Transport. Are you sure? It seems more likel …",Business
4041,"More firms cancel dividends as market sell-off continues The deepening coronavirus crisis has forced UK companies to scrap dividend payments to shareholders worth £500m in one day, as heavy selling on global …",Business
4042,"Valeria Luiselli wins £30,000 Rathbones Folio prize for third novel Valeria Luiselli’s “singular, teeming, extraordinary” novel Lost Children Archive has won the £30,000 Rathbones Folio prize. The Mexican-born novelist …",Books
4043,"An expert guide to physical distancing – and what to do if friends and family aren't onboard Officials around the world say “physical distancing” is the key to slowing the spread of coronavirus. Are there any safe ways to socialize, and what d …",US-News
4044,"How UK coronavirus lockdown compares with other countries Twenty-three days after Boris Johnson remarked offhandedly that coronavirus is “likely to spread a bit more”, he finally declared a stricter lockdown …",Politics
4045,"Alex Salmond's court win leaves questions over role of SNP Over nearly nine days of often contradictory and emotionally charged evidence, the jurors in Alex Salmond’s trial on 14 charges of sexual assault hear …",Politics
4046,Boris Johnson unveils the lockdown that isn't quite a lockdown This time there was no daily Downing Street press conference. Not even an ersatz People’s PMQs with spoon fed set ups from Classic “Let the old and th …,Politics
4047,"Talking Horses: Devon Loch bellyflop remains a mystery after 64 years At 3.24pm on Tuesday, it will be exactly 64 years since Devon Loch performed the most famous bellyflop in sports history. We’ve all seen some glorious …",Sport
4048,"Rod Sims weighs in on Virgin Australia stoush with Qantas, calling for 'cooperative spirit' Competition regulator Rod Sims says Australia needs two big airlines and he will be contacting Qantas to ask it to end a public campaign it has mounte …",Business
4049,"Trump wants to reopen US businesses in weeks 'not months' even as deaths rise – as it happened We’re closing out this US politics liveblog for the night, but our global live coverage of the coronavirus pandemic will continue. A summary of key ev …",US-News
4050,Salmond's acquittal could make him the SNP's biggest challenge When Nicola Sturgeon addressed a private gathering of Scottish National party politicians at Edinburgh Napier University towards the end of August 201 …,Politics
4051,Australian sport braces for widespread cuts as financial crisis hits The huge financial cost of the coronavirus outbreak is being felt in the major football codes as Australian sport braces itself to feel the full impac …,Sport
4052,"No Modernism Without Lesbians by Diana Souhami – review As Diana Souhami sees it, lesbianism is much more than a sexual preference: it extends into an artistic vocation, an enraptured emotional cult and a p …",Books
4053,"The best recent thrillers – review roundup Rules for Perfect Murders Peter Swanson Faber, £12.99, pp288 Malcolm Kershaw runs a bookstore in Boston specialising in mystery fiction. He is contact …",Books
4054,"Asterix creator Albert Uderzo dies at 92 Asterix illustrator Albert Uderzo has died at the age of 92, his family has announced. The French comic book artist, who created the beloved Asterix c …",Books
4055,Kim Kardashian West accuses Taylor Swift of lying over leaked tape One of celebrity’s longest-running but assumed dormant feuds has once again reared its head. Kim Kardashian West has accused Taylor Swift of lying aft …,Music
4056,"Rihanna: where to start in her back catalogue The album to start with Rated R (2009) By 2009, the idea of the “rebel album” – a record by a (typically female) pop star that aims for darker, more m …",Music
4057,Make Room! Make Room! versus Soylent Green: can film trump book? I’ve just taken advantage of my time in isolation to watch Richard Fleischer’s 1973 sci-fi classic Soylent Green. My firm conclusion is that it is (ev …,Books
4058,"What I'm really watching: old Parky, ancient tennis and a tiger cowboy Last week, the BFI released a list of the films streaming on Netflix and Amazon Prime. It’s terrific. It contains several movies I’ve always wanted to …",Film
4059,"Soothing songs for self-isolation: readers' picks Last week, we published a 60-song playlist of soothing songs to reduce the stresses of self-isolation and the coronavirus outbreak. We asked you for y …",Music
4060,"How Middlesex reject Reggie Schwarz became an early master of the googly In 1902, before what would prove Reggie Schwarz’s final summer as an Englishman, Surrey’s Henry Leveson-Gower wrote a preview of the county season in …",Sport
4061,"My favourite film aged 12: Anne of the Thousand Days As a rather prim and unusual child, one of my favourite films when I was 12 or so was Anne of the Thousand Days, a long-forgotten and slightly dreary …",Film
4062,Strike a pose! My night at a vogue ball with Malcolm McLaren It was late September 1988: George Bush was up against Michael Dukakis in the first of their two TV debates. The presidential campaign was hotting up …,Music
4063,"Julie Felix obituary In 1966, at the height of the folk music boom in Britain, David Frost’s satirical television show The Frost Report featured a young American folk sing …",Music
4064,"Pregnant healthcare staff under pressure to work during Covid-19 crisis Doctors and nurses are concerned that those in early pregnancy are being told to go in to work, despite government advice to self-isolate at home as t …",Life-and-Style
4065,"Alex Salmond trial: key events in lead-up to verdicts 31 October 2017: John Swinney, deputy first minister, tells Holyrood the Scottish government has begun a review of policies on inappropriate conduct i …",Politics
4066,"'No, we aren't all going to die': experts on how to talk to kids about coronavirus There are no books on how to talk to kids about a global pandemic. Three experts share advice on what to tell them about the coronavirus. Is there a r …",US-News
4067,"Trump retweets Fauci meme laughing at his coronavirus response Donald Trump went on a retweeting tear on Monday, relaying messages in support of his coronavirus response and controversial plan to “reopen” the US e …",US-News
4068,"From Fight Club to Brief Encounter: how self-isolation would change classic films In the age of self-isolation, I’ve started to change how I watch films. I’ve begun to clock moments when characters break the government rules on phys …",Film
4069,Henry Gray obituary In the electrifying blues scene of 1950s Chicago there were two men who rose above all others. On one side stood the stylish Muddy Waters; on the othe …,Music
4070,"Olympics Q&A: what now for the postponed Tokyo Games? When will the Olympics now be held? Among several options considered by the organising committee in recent days has been short-term postponements, by …",Sport
4071,"Illustrator Albert Uderzo drew me in to Asterix's world with deftness and care Asterix has been part of our lives for nearly 60 years, and of mine for nearly 50. I still remember my immediate assent to René Goscinny and Albert Ud …",Books
4072,"Asterix: a world of joyful innocence born in the aftermath of war As a child, devouring every Asterix book I could lay my hands on, I failed to notice what now, with the sombre perspective of adulthood, I can recogni …",Books
4073,"Thousands of students stranded at university amid UK lockdown Thousands of students are stranded in universities across the UK as a result of the coronavirus pandemic, prompting calls for support from vice-chance …",UK-News
4074,"UK coronavirus: 12,000 former NHS workers to return and emergency hospital to open as death toll rises – as it happened The Cabinet Office minister, Michael Gove, did not rule out lockdown rules getting even tighter after three weeks. He told Sky News this morning: “In …",Politics
4075,"Alex Salmond allies say he plans to sue Scottish government Alex Salmond is expected to sue the Scottish government over the alleged role of its senior officials in his prosecution for sexual assaults, his alli …",Politics
4076,Launch of the Hundred may be delayed to 2021 if cricket season is cut short The Hundred faces the prospect of being pushed back to a 2021 launch date should the coronavirus pandemic reduce this year’s English cricket season to …,Sport
4077,Sports Direct staff facing uncertain future after pressure forces store closures Thousands of shopworkers are facing an uncertain future after Mike Ashley’s Sports Direct chain bowed to government pressure and closed all its stores …,Business
4078,Supermarkets bring in new measures to keep shoppers and staff safe Supermarkets are racing to install measures to keep shoppers and staff at least 2 metres apart after the government called for an immediate increase i …,Business
4079,"International Olympic Committee has rare chance to live up to its hype Loth as I am to call the good men and women of the International Olympic Committee self-important, there was a time early in 2018, two years, one mont …",Sport
4080,"'It's bigger than all of us': GB athletes unite in support of Olympic delay Britain’s leading athletes have endorsed the decision to postpone the Tokyo Olympics until 2021, with the triathlete Alistair Brownlee, the swimmer Ad …",Sport
4081,"Matt Hancock looks bewildered that the NHS isn't in better shape Just under two years ago, Matt Hancock dreamed up the idea of appearing as a hologram for his speech as culture secretary at the Conservative party co …",Politics
4082,"How Tokyo's 2020 hopes turned to ashes – but can rise again in 2021 It sounds preposterous in hindsight, especially now the Tokyo Olympics has joined the ranks of the sporting postponements, but barely a fortnight ago …",Sport
4083,"Trump's 'back-to-work' plan would only make things worse, experts say New York, San Francisco, Los Angeles, Chicago – cities across the US are closing down because of the Covid-19 epidemic. The economic impact is already …",US-News
4084,"Australian Olympic sports face up to uncertain new reality Few athletes, coaches and administrators across Australia’s Olympic sports will ever forget this past week. As national sporting organisations were bu …",Sport
4085,UK police chiefs: coronavirus could bring out worst in humanity Police chiefs have warned the coronavirus pandemic could “bring out the worst in humanity” after a spate of opportunistic crimes hindered efforts to c …,UK-News
4086,"White House calls on New Yorkers who have left city to self-quarantine – as it happened Lawmakers have signaled that they are close to passing an economic stimulus deal. The stimulus package would include direct payments to taxpayers, as …",US-News
4087,"Coronavirus cabin fever: the best celebrities to follow, from Robbie Williams to Florence Pugh Famous people are used to hearing the echo of applause and crowds of compliments everywhere they go. When they are suddenly confined to their homes, s …",Life-and-Style
4088,"'It blew my mind': the incredible story of Netflix's feelgood Crip Camp Crip Camp, Netflix’s feelgood documentary executive-produced by the Obamas, begins out of the spotlight: at a hippy summer camp in the early 1970s cal …",Film
4089,"Are Trump's coronavirus briefings the new 2020 campaign rallies? For more than an hour from the lectern he self-aggrandises, rewrites history, casts blame, scores political points, goads the media and sends factchec …",US-News
4090,"Box Hill by Adam Mars-Jones review – a sparky yet sad vision of gay subculture Adam Mars-Jones’s fiction is nothing if not intermittent. His early stories in Lantern Lecture (1981), including one where the Queen contracts rabies, …",Books
4091,"Classical musicians plead for support as cancelled concerts blight income It’s not called the gig economy by accident. Musicians are among those hardest hit by the cultural shutdown, and with the government currently offerin …",Music
4092,"UK parliament to close early for Easter amid coronavirus fears Parliament is to close for Easter a week early amid fears that coronavirus has been spreading fast through Westminster. Jacob Rees-Mogg, the leader of …",Politics
4093,Jackson Browne tests positive for coronavirus Jackson Browne has tested positive for coronavirus. The 71-year-old musician told Rolling Stone that he had mild symptoms including “a small cough and …,Music
4094,"Top 10 novels and stories about shame I was an adolescent when I first came across the letters of St Paul. Though I had been raised Greek Orthodox, at 13 I had joined an evangelical church …",Books
4095,"The Fall: where to start in their back catalogue The album to start with Hex Enduction Hour (1982) ‘There’s always some cunt who wants to ask me about a masterpiece I made in 1982,” frothed Mark E Sm …",Music
4096,"I've never seen … The Shining I can’t sit through a horror film. Or, I can sit, I just watch through clammy fingers, anticipating each jump scare while trying not to squeal and won …",Film
4097,"Commonwealth Games chiefs want calendar fix to ensure GB stars compete The Commonwealth Games Federation has urged the governing bodies of athletics and swimming to find a way to ensure Dina Asher-Smith, Adam Peaty and Ka …",Sport
4098,"Dyson and Airbus expect green light to start making ventilators Dyson, along with a separate consortium of manufacturers led by Airbus, is expecting the government to give it the green light to start making up to 3 …",Business
4099,"My favourite game: Everton v Bayern Munich, 1985 Cup Winners' Cup When Søren Lerby sauntered into the Goodison cauldron without shin pads even my 13-year-old eyes could see it was a reckless act. Nearly 35 years on, …",Sport
4100,"Conclusions by John Boorman review – film gossip and nostalgia “I am a man I never had time to get to know,” announces the film-maker John Boorman, director of Point Blank (1967) and Deliverance (1972), halfway th …",Books
4101,"US briefing: $2tn rescue deal, WHO warning, Brazil protests Good morning, I’m Molly Blackall with today’s key stories. $2tn economic stimulus package agreed US Senate leaders have reached a deal with the White …",US-News
4102,"NBA star Towns says his mother is in coma with coronavirus symptoms Minnesota Timberwolves star Karl-Anthony Towns posted a video to Instagram on Tuesday night detailing the events that led to his mother, Jacqueline Cr …",Sport
4103,"Domains review – eerie echoes of a world in isolation The first movie of the coronaviral era is already here. Domains, from Japanese film-maker Natsuka Kusano, premiered last year at the Rotterdam film fe …",Film
4104,"Adele, Keith Flint, Gil Scott-Heron and me: Richard Russell, the XL records Midas From the outside, Richard Russell’s studio looks like any other house in Notting Hill. But inside, there’s a plethora of vintage synthesisers and some …",Music
4105,"From Panic Room to Cabin Fever: films about isolation, to watch in self-isolation Self-isolating alone Cast Away With Tom Hanks currently in Australia fighting Covid-19, let’s remember him in shaggier times: on an enforced Robinson …",Film
4106,Golf's hiatus offers reminder of what the Open was before money talked Crunch time should not be far away for the Open. The championship at Royal St George’s is one of the precious few remaining on Britain’s traditional s …,Sport
4107,"UK pubs and breweries push to be allowed takeaway sales Breweries and pubs are lobbying the government for blanket permission to launch takeaway alcohol services, after off-licences were designated “essenti …",Business
4108,"Trump family will not profit from $2tn stimulus package, Schumer says Donald Trump’s family has been blocked from getting bailout funds in the $2tn economic stimulus package, according to a letter from the Senate minorit …",US-News
4109,"Don't panic: the best books to help us survive a crisis The coronavirus has put life on hold. In this time of fractured human contact and fear of the unknown, we need to read authors who will embolden us fo …",Books
4110,"Book sales surge as self-isolating readers stock up on ‘bucket list’ novels Book sales have leapt across the country as readers find they have extra time on their hands, with bookshops reporting a significant increase in sales …",Books
4111,Parents pay tribute to 'social butterfly' aged seven stabbed to death The family of a seven-year-old girl who was killed in a “random act of violence” in a park in Greater Manchester have paid tribute to her. Emily Jones …,UK-News
4112,Care workers move into Sheffield dementia home to shield residents A group of care workers have left their families and moved into a care home for a “lock-in” with residents to help protect them from the coronavirus. …,UK-News
4113,The Chats: the making of Australia’s favourite ratbags The Chats might have the least aspirational origin story in music: they began out messing around together in a friend’s “bong shed” (where their chose …,Music
4114,"JD Wetherspoon refuses to pay suppliers until lockdown ends JD Wetherspoon has told its suppliers it will not pay them until pubs reopen after the coronavirus lockdown, but promised staff will get their wages b …",Business
4115,"The Perfect Candidate review – accidental heroine takes on the cynics With oil no longer at the premium it was, and Saudi Arabia’s government reportedly compelled to make concessions to western-style novelties such as fe …",Film
4116,"Royals practise physical distancing as Charles self-isolates The Queen is at Windsor and following “appropriate advice”, the Prince of Wales and Duchess of Cornwall are in self-isolation on Royal Deeside and the …",UK-News
4117,"Julie Felix: 10 of her greatest performances As a Californian teenager, Julie Felix – who has died aged 81 – never imagined herself becoming a folk singer, but her guitar became a handy tool for …",Music
4118,UK postal workers in plea for limit to non-essential deliveries Postal workers have called on Royal Mail and e-commerce sites to limit the amount of non-essential items they are being asked to deliver at a time whe …,Business
4119,UK banks warned: don't let Covid-19 destroy good firms - as it happened Equity markets have risen in Europe and the US as investors await details of the $2tn stimulus agreed by Congress in Washington. Here are some of the …,Business
4120,IOC under fire after boxers at London event test positive for Covid-19 The International Olympic Committee has been accused of putting athletes’ health in jeopardy after two Turkish boxers and their head coach tested posi …,Sport
4121,"US stimulus package may be massive but it will not be enough The precise details of the US stimulus package are still to be revealed but some things are already clear: it will be massive, it will hit many of the …",Business
4122,"UK coronavirus: tests prioritised for NHS workers, 'not available on the internet next week' – as it happened Mass home testing is to be made available ‘within days’, Public Health England has claimed. The test, which involves pricking the finger to produce a …",Politics
4123,The Guardian view on parliament in a crisis: rising to the challenge Prime minister’s questions in the House of Commons typifies British democracy in some respects. It fulfils an essential function by means of conventio …,Politics
4124,Businesses ask for clarity amid confusion over UK lockdown Business groups and unions have called on ministers to provide urgent clarification over which companies will remain open during the coronavirus lockd …,Business
4125,Premiership players considering claims for unlawful deduction of wages Premiership clubs are likely to face claims of unlawful deduction of wages amid growing player unrest at the blanket 25% pay cuts imposed. It is under …,Sport
4126,"Banks and business caught out by emergency measures Get a bloody move on. That was not, obviously, the wording of the exhortation to banks in Wednesday’s joint letter from the chancellor, the governor o …",Business
4127,"Boris Johnson and his donkeys stumble on, led by lions they try to lead We were still a long way short of John Bercow’s last prime minister’s questions hurrah. That clocked in at a mind-numbing 70 minutes. But with parliam …",Politics
4128,UK government helps supermarkets target deliveries to vulnerable shoppers Supermarkets are being given access to a government database to help prioritise food deliveries for elderly and vulnerable shoppers who have been orde …,Business
4129,"Emergency meeting to determine if Wimbledon can take place The All England Club will decide at an emergency meeting next week if it is advisable or even viable to hold this year’s Wimbledon tournament, due to …",Sport
4130,Eddie Jones to be asked to take pay cut with RFU set for £50m losses Eddie Jones will be asked to take a pay cut after the Rugby Football Union revealed it is set to lose up to £50m owing to the disruption caused by cor …,Sport
4131,"England: police to get power to use force to impose coronavirus lockdown Police will be authorised to use force to send people back home if they refuse to obey the coronavirus lockdown, under government plans. Ministers wil …",UK-News
4132,"Kanye West likens backlash over support for Trump to racial profiling Kanye West has reaffirmed his support for Donald Trump, whom he has previously called “his brother”, in a new interview with the Wall Street Journal. …",Music
4133,"More than 1m Californians have filed for unemployment amid coronavirus crisis More than a million Californians have filed for unemployment this month due to the coronavirus crisis, the state’s governor announced. “We just passed …",US-News
4134,"Robert Levinson's family confirms former FBI agent died in Iranian custody Robert Levinson, a former FBI agent who disappeared in Iran in 2007, died in Iranian custody, according to a statement from his family. The statement …",US-News
4135,"Banks warned against profiteering from UK coronavirus crisis British companies, including major banks, have been warned against profiteering from the coronavirus crisis and told to pass on the benefits of histor …",Business
4136,"Queen holds audience with PM by phone while Prince of Wales self-isolates with Covid-19 The Prince of Wales has coronavirus, it emerged on Wednesday, as hundreds of guests at a Commonwealth service attended by Charles and the Queen were t …",UK-News
4137,"High court rejects call to free 736 detainees at risk from coronavirus The high court has rejected calls to free hundreds of immigration detainees who, lawyers and human rights activists say, are at risk from Covid-19 whi …",UK-News
4138,"I used to live for travel – in fact, I just wrote the book on it. But there’s no running away now I’ve just published a novel called Sweetness and Light, a kind of thriller set in the seedy underbelly of expat hangouts on the international tourist …",Books
4139,'One big virtual love-in': how children's book authors are creating online sanctuaries The children’s author and illustrator wunderkind Oliver Jeffers has started a stay-at-home story time where he reads a book a day live on Instagram. A …,Life-and-Style
4140,"'My heartthrob days are over': Joe Wicks on health, happiness – and training the nation It is not these extraordinary times that have made Joe Wicks. He was already huge, initially from Instagram cooking videos that lasted just 15 seconds …",Life-and-Style
4141,Gordon Brown calls for global government to tackle coronavirus Gordon Brown has urged world leaders to create a temporary form of global government to tackle the twin medical and economic crises caused by the Covi …,Politics
4142,"Your place or mine? Coronavirus forces couples to choose Not long ago, the longest time Ewa Lelontko had spent in her partner’s company was two weeks. For all of their one-year relationship, Lelontko, 31, wa …",Life-and-Style
4143,"Coronavirus crisis leads to steep drop in recorded crime The coronavirus crisis has led to a drop in recorded crime, by as much as 20% in some areas. Offences such as burglary and violence were down last wee …",UK-News
4144,"Villain review – Richard Burton's masterclass in nastiness Dick Clement and Ian La Frenais are renowned for small-screen comic masterpieces such as Porridge and The Likely Lads, but in 1971 they scripted the d …",Film
4145,"Hamnet by Maggie O'Farrell review – immersive Shakespearean drama In Hamnet, Maggie O’Farrell has placed the bit players of the Shakespeare story centre stage, while the dramatist himself is never even named. This is …",Books
4146,"Phil Ochs: the doomed folk singer who woke up from the American dream As a kid in the 1950s, Phil Ochs cut class and spent afternoons at the local movie house. The Searchers and Rebel Without a Cause were two of his favo …",Music
4147,The Russian Dolls have transformed figure skating. But at what cost? Facade has always been central to figure skating. The sport’s culture dictates that athletes should smile through pain and errors. In the ‘kiss and cr …,Sport
4148,"As If by Chance by David Lan review – a glowing memoir Always, on entering the endlessly reconfigured auditoria of the Young Vic theatre, on London’s South Bank, the shiver of excitement at not knowing whe …",Books
4149,My favourite film aged 12: Peter Bradshaw on Juggernaut Do you cut the red wire or the blue wire? One renders the explosive mechanism harmless. The other causes everyone to die in an almighty explosion. And …,Film
4150,Rugby in Wales has survived mass shutdown before and will again Sport has shut down all over the world as countries look to contain the spread of coronavirus. There was an attempt 116 years ago to shut down rugby i …,Sport
4151,"From splendid to stressful: a short history of isolation “Isolation is the sum-total of wretchedness to man,” wrote the historian Thomas Carlyle in 1843, which might sound dispiriting today. But he did not m …",Books
4152,"California's homeless census was already troubled. Covid-19 is making it impossible For the past year and a half, local county census committees and homeless service providers throughout California have been conducting their own outre …",US-News
4153,"Haifaa Al-Mansour: 'Female leaders are crushed. Look at Hillary Clinton' Haifaa Al-Mansour’s latest film, The Perfect Candidate, opens with a doctor in her 20s driving to work. In any other film you wouldn’t register the fa …",Film
4154,"Malian musician Rokia Traoré freed from French prison pending transfer to Belgium Malian musician Rokia Traoré has been released from a French prison, after being detained since 10 March for the alleged kidnap of her daughter in a c …",Music
